Year,Site,Microtus_californicus,Rattus_norvegicus    ,Rattus_rattus,Peromyscus_truei,Peromyscus_californicus,Peromyscus_maniculatus,Neotoma_fuscipes,Reithrodontomys_megalotis,Odocoileus_hemionus,Mephitis_mephitis,Procyon_lotor,Sciuridae_sp,Canis_latrans,Lynx_rufus,Didelphis_virginiana,Lepus_californicus,Urocyon_cinereoargenteus,Puma_concolor,Sylvilagus_bachmani,Sciurus_griseus,Sceloporus_occidentalis
2021,WP-21,0,0,0,3,0,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,19
2021,JSCP-21,3,0,0,70,0,0,0,0,2,6,6,27,0,0,0,0,0,0,0,27,0
2021,WDLP-21,0,0,0,16,2,0,7,0,53,1,1,2,0,0,0,0,0,0,0,2,2
2021,HOS-21,0,0,0,27,2,0,6,0,13,2,2,1,0,0,0,0,0,0,0,1,28
2021,TUP-21,0,0,0,0,0,7,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0
2021,LFY-21,0,0,0,29,0,0,1,0,8,0,3,27,3,0,0,0,0,0,0,27,40
2021,PUG-21,0,0,0,39,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2021,CCSP-21,2,0,0,1,0,19,8,0,75,4,4,15,4,0,0,4,0,0,0,15,49
2021,SLRP-21,0,0,0,5,0,0,0,0,64,3,0,4,3,0,5,0,0,0,3,4,24
2021,TIL-21,1,0,0,18,1,12,0,1,31,0,0,1,7,1,0,0,0,0,0,1,17
2021,PR-21,0,0,0,48,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,16
2021,FL-21,0,0,0,27,8,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0
2021,WH-21,0,0,0,23,8,0,4,0,5,4,0,18,0,3,0,0,0,0,0,18,12
